"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L124","DeleteaccountHandler","eu.fp7.scase.webmarks.account.DeleteaccountHandler","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\DeleteaccountHandler.java",35,1,105,2,0.461818,4,11,4,0.577465,0.58,41,29,1,2,2,8,3,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L204","GetaccountHandler","eu.fp7.scase.webmarks.account.GetaccountHandler","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\GetaccountHandler.java",35,1,118,2,0.3175,4,11,4,0.488095,0.508772,41,29,1,2,2,8,3,1,1,8,12,0.6,0.185714,13,3,3,2,0.185714,13,0,0,0,0,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L230","GetaccountListHandler","eu.fp7.scase.webmarks.account.GetaccountListHandler","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\GetaccountListHandler.java",38,1,117,2,0.36478,3,8,3,0.4375,0.45614,35,26,1,2,2,9,4,1,1,10,14,0.6,0.173913,12,3,3,2,0.173913,12,0,0,0,0,0,57,80,5,1,5,1,4,0,4,0,4,32,0,4,0,57,80,5,1,5,1,4,0,4,0,4,32,0,4,0,0,0,29,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L291","JavaaccountController","eu.fp7.scase.webmarks.account.JavaaccountController","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\JavaaccountController.java",39,1,75,2,0,0,0,0,0,0,0,0,1,0,0,3,4,1,0,6,9,1,0.228571,8,8,4,0,0.228571,8,0,0,0,0,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"L324","JavaaccountControllerManager","eu.fp7.scase.webmarks.account.JavaaccountControllerManager","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\JavaaccountControllerManager.java",36,1,63,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,4,6,1,0.2,5,5,3,0,0.2,5,0,0,0,0,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"L137","JavaaccountModel","eu.fp7.scase.webmarks.account.JavaaccountModel","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\JavaaccountModel.java",52,1,133,2,0,0,0,0,0,0,0,0,5,1,1,12,2,16,29,1,12,0.25,0.140625,9,9,3,9,0.140625,9,0,0,0,0,0,55,82,5,1,5,1,11,0,11,1,11,13,0,11,1,55,82,5,1,5,1,11,0,11,1,11,13,0,11,1,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"L257","JavaaccountModelManager","eu.fp7.scase.webmarks.account.JavaaccountModelManager","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\JavaaccountModelManager.java",33,1,48,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0.333333,0.166667,2,2,1,2,0.166667,2,0,0,0,0,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"L332","PostaccountHandler","eu.fp7.scase.webmarks.account.PostaccountHandler","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\PostaccountHandler.java",36,1,115,2,0.284916,2,5,2,0.4,0.410714,32,23,1,3,2,9,3,1,1,10,14,0.6,0.176471,12,3,3,2,0.176471,12,0,0,0,0,0,56,80,5,0,5,0,4,0,4,0,4,31,0,4,0,56,80,5,0,5,0,4,0,4,0,4,31,0,4,0,0,0,28,0,0,0,0,0,17,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L309","PutaccountHandler","eu.fp7.scase.webmarks.account.PutaccountHandler","L108","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\PutaccountHandler.java",35,1,119,2,0.293303,4,11,4,0.482353,0.508772,41,29,1,2,2,8,3,1,1,8,12,0.6,0.185714,13,3,3,2,0.185714,13,0,0,0,0,0,57,85,5,0,5,0,4,0,4,0,4,33,0,4,0,57,85,5,0,5,0,4,0,4,0,4,33,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L471","DeletebookmarkHandler","eu.fp7.scase.webmarks.bookmark.DeletebookmarkHandler","L461","L103","C:\Users\michalis\Desktop\thesisResults\WebMarks_java\DeletebookmarkHandler.java",34,1,104,2,0.479245,4,11,4,0.56338,0.58,40,29,1,2,2,8,4,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
